indicator,Unit,Date,Value,Date_clean,Year,Quarter
Agriculture,million naira,2016Q1,485633.7,2016-01-01,2016,1
Agriculture,million naira,2016Q2,480639.2,2016-04-01,2016,2
Agriculture,million naira,2016Q3,491281.2,2016-07-01,2016,3
Agriculture,million naira,2016Q4,525945.2,2016-10-01,2016,4
Industry,million naira,2016Q1,4469225.7,2016-01-01,2016,1
Industry,million naira,2016Q2,5887747.3,2016-04-01,2016,2
Industry,million naira,2016Q3,6233423.4,2016-07-01,2016,3
Industry,million naira,2016Q4,6257223.2,2016-10-01,2016,4
Minning & Quarrying,million naira,2016Q1,11336.5,2016-01-01,2016,1
Minning & Quarrying,million naira,2016Q2,16328.4,2016-04-01,2016,2
Minning & Quarrying,million naira,2016Q3,27282.4,2016-07-01,2016,3
Minning & Quarrying,million naira,2016Q4,21283.5,2016-10-01,2016,4
Manufacturing,million naira,2016Q1,1862589.1,2016-01-01,2016,1
Manufacturing,million naira,2016Q2,2058036.9,2016-04-01,2016,2
Manufacturing,million naira,2016Q3,2130441.3,2016-07-01,2016,3
Manufacturing,million naira,2016Q4,2215741.1,2016-10-01,2016,4
Oil & Gas,million naira,2016Q1,2237712.1,2016-01-01,2016,1
Oil & Gas,million naira,2016Q2,3366153.6,2016-04-01,2016,2
Oil & Gas,million naira,2016Q3,3647251.1,2016-07-01,2016,3
Oil & Gas,million naira,2016Q4,3587904.8,2016-10-01,2016,4
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q1,2237712.1,2016-01-01,2016,1
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q2,3366153.6,2016-04-01,2016,2
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q3,3647251.1,2016-07-01,2016,3
"of which DownStream, Natural Gas and Crude Oil Refining",million naira,2016Q4,3587904.8,2016-10-01,2016,4
Power and Energy,million naira,2016Q1,357588.0,2016-01-01,2016,1
Power and Energy,million naira,2016Q2,447228.4,2016-04-01,2016,2
Power and Energy,million naira,2016Q3,428448.6,2016-07-01,2016,3
Power and Energy,million naira,2016Q4,432293.8,2016-10-01,2016,4
of which IPP and Power Generation,million naira,2016Q1,357588.0,2016-01-01,2016,1
of which IPP and Power Generation,million naira,2016Q2,447228.4,2016-04-01,2016,2
of which IPP and Power Generation,million naira,2016Q3,428448.6,2016-07-01,2016,3
of which IPP and Power Generation,million naira,2016Q4,432293.8,2016-10-01,2016,4
Construction,million naira,2016Q1,519036.2,2016-01-01,2016,1
Construction,million naira,2016Q2,607390.3,2016-04-01,2016,2
Construction,million naira,2016Q3,631405.5,2016-07-01,2016,3
Construction,million naira,2016Q4,631092.0,2016-10-01,2016,4
Trade/General Commerce,million naira,2016Q1,950542.6,2016-01-01,2016,1
Trade/General Commerce,million naira,2016Q2,1020014.6,2016-04-01,2016,2
Trade/General Commerce,million naira,2016Q3,973006.6,2016-07-01,2016,3
Trade/General Commerce,million naira,2016Q4,984899.2,2016-10-01,2016,4
Government,million naira,2016Q1,1230301.3,2016-01-01,2016,1
Government,million naira,2016Q2,1384963.3,2016-04-01,2016,2
Government,million naira,2016Q3,1366684.4,2016-07-01,2016,3
Government,million naira,2016Q4,1361853.1,2016-10-01,2016,4
Services,million naira,2016Q1,5227556.88,2016-01-01,2016,1
Services,million naira,2016Q2,5763282.39,2016-04-01,2016,2
Services,million naira,2016Q3,6091864.53,2016-07-01,2016,3
Services,million naira,2016Q4,5989035.81,2016-10-01,2016,4
Real Estate,million naira,2016Q1,663932.91,2016-01-01,2016,1
